repo,季均代码参与者数量,季均代码贡献者数量,日均代码提交数量,季均代码提交关联PR的比率,季均PR关联issue的比率,日均PR创建数量,季均代码审查比率,季均代码合并比率,日均提交代码行数,proj_id,季均bug类issue处理时间平均数,季均bug类issue处理时间中位数,日均关闭PR数量,季均issue评论频率,季均issue首次响应时间平均数,季均issue首次响应时间中位数,季均PR处理时间平均数,季均PR处理时间中位数,日均更新issue数量,季均代码审查评论频率,季均最近版本发布次数,季均组织数量,季均组织贡献者数量,日均组织代码提交次数,季均组织持续贡献时间,季均观察贡献者数量,日均观察者贡献次数,季均issue贡献者数量,日均issue贡献次数,日均代码贡献次数,季均个人贡献者数量,日均个人贡献次数,季均访客贡献者数量,日均访客贡献次数,季均常客贡献者数量,日均常客贡献次数,季均核心贡献者数量,日均核心贡献次数
https://github.com/dylanede/ovr-sys,0,0,0,0,0,0,0,0,0,gitee:dylanede/ovr-sys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/TuGraph-family/tugraph-analytics,17.69230769,15.69230769,0.395946466,0.787341011,0,0.360683761,0.091250633,0.674109164,450.9274383,gitee:TuGraph-family/tugraph-analytics,0,0,0.372649573,0.050892308,79.06513077,79.29461538,88.94094615,89.68269231,0.442735043,1.891025641,6.307692308,3.230769231,3.230769231,0.094072527,6.230769231,18.76923077,0.214529915,11.38461538,0.685470085,2.284615385,26.69230769,2.68034188,28.38461538,0.741025641,4.230769231,0.803418803,1,1.62991453
https://github.com/0xd34d10cc/modint,0,0,0,0,0,0,0,0,0,gitee:0xd34d10cc/modint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/gongzhengyang/axum-restful,0,0,0,0,0,0,0,0,0,gitee:gongzhengyang/axum-restful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.044444444,0,0,0,3,0.033333333,3,0.033333333,0,0,1,0
https://github.com/8176135/inline-assets-rs,0,0,0,0,0,0,0,0,0,gitee:8176135/inline-assets-rs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/MOZGIII/linux-nvme-sys,0,0,0,0,0,0,0,0,0,gitee:MOZGIII/linux-nvme-sys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/alexander-irbis/incrust,0,0,0,0,0,0,0,0,0,gitee:alexander-irbis/incrust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/elliotekj/iron-middlefiddle,0,0,0,0,0,0,0,0,0,gitee:elliotekj/iron-middlefiddle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/alliby/kabegami,0.076923077,0.076923077,0.006841408,0.057692308,0,0.000854701,0,0,0.25569761,gitee:alliby/kabegami,0,0,0.000854701,0,0,0,90,90,0,0,0,0,0,0,0,0,0,0,0,0.008547009,0.076923077,0.008547009,0,0,0,0,0.076923077,0.008547009
https://github.com/aldarons-tech/utem,0,0,0,0,0,0,0,0,0,gitee:aldarons-tech/utem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
